Year;Month;Day;Tmin;Tmax;Tmean;Rain;Radiation;Humidity;UN;UX;ETPP;Wind
1991;11;12;2.4;12.3;7.4;6;220;85;70;100;0.2;4.1
1991;11;13;6.8;10;8.4;15.5;80;80.5;61;100;0.2;4.5
1991;11;14;2.2;8.5;5.3;2.5;330;84;72;96;0.6;3.8
1991;11;15;4.5;7;5.8;1.5;220;93;86;100;0.2;0.8
1991;11;16;4.1;8.4;6.2;0;410;82;64;100;0.5;1.8
1991;11;17;-0.3;6.4;3;1.5;300;94.5;89;100;0.1;1.2
1991;11;18;3.1;9.3;6.2;1.5;250;97.5;95;100;0;3.2
1991;11;19;4.2;8.8;6.5;0.5;450;84.5;69;100;0.2;2.1
1991;11;20;0.2;8.1;4.2;2;490;87.5;75;100;0.1;3.4
1991;11;21;3.6;5.1;4.3;0;160;90;82;98;0.6;5.4
1991;11;22;1.9;4.4;3.2;0;290;83;77;89;0.6;3.6
1991;11;23;-0.6;3.8;1.6;0;180;89;84;94;0.2;2
1991;11;24;2.9;4.2;3.5;0;120;84;78;90;0.3;1.2
1991;11;25;1;7.1;4.1;0;580;87;74;100;0;1
1991;11;26;-1.6;8.3;3.4;0;530;90;80;100;0;0.4
1991;11;27;-1.9;4.1;1.1;0.5;370;100;100;100;0;0.5
1991;11;28;0.5;3.5;2;0;210;100;100;100;0.1;0.9
1991;11;29;1.2;2.6;1.9;0.5;140;100;100;100;0;1.3
1991;11;30;-0.2;2.8;1.3;0;150;100;100;100;0;1.1
1991;12;1;-0.5;0.2;-0.2;0;100;100;100;100;0;2.1
1991;12;2;-0.6;1.1;0.2;0;80;100;100;100;0;0.8
1991;12;3;-0.5;0.8;0.2;0.5;100;100;100;100;0;0.6
1991;12;4;-0.3;1.1;0.4;0;70;95.5;91;100;0;0.9
1991;12;5;-1.3;3.8;1.2;0;410;89;81;97;0;1.8
1991;12;6;-2.6;2.4;-0.1;0;590;81;66;96;0;2.6
1991;12;7;-3.3;4.8;0.8;0;590;79;68;90;0.3;3.8
1991;12;8;-2.8;3.4;0.3;0;570;81.5;71;92;0.1;3.7
1991;12;9;-2.5;4;0.8;0;520;78.5;63;94;0.3;3.4
1991;12;10;-6.2;-0.4;-3.3;0;430;76.5;68;85;0.1;1.3
1991;12;11;-4.7;2;-1.3;0;340;85;76;94;0.1;0.5
1991;12;12;-6.1;3.1;-1.5;0;540;81;69;93;0;0.3
1991;12;13;-7.8;0.3;-3.8;0;620;85.5;76;95;0;0.3
1991;12;14;-10.4;-5.9;-8.1;0;120;93.5;91;96;0.1;0
1991;12;15;-10.2;-2.1;-6.1;0;230;96;92;100;0.1;0
1991;12;16;-7.8;2.3;-2.8;3;320;98;96;100;0;0
1991;12;17;-2.2;7.5;2.7;1;270;92;84;100;0;2.3
1991;12;18;3.9;8.3;6.1;4.5;260;86.5;73;100;0.4;3.9
1991;12;19;4.4;10.1;7.2;4.5;90;93.5;87;100;0.2;4.8
1991;12;20;3;5.9;4.4;5;350;83;71;95;0.6;5.4
1991;12;21;1.2;11.9;6.5;8.5;60;92;84;100;0.1;4.4
1991;12;22;9.7;12.6;11.1;0.5;100;89;80;98;0.5;5.1
1991;12;23;8.5;9.8;9.1;0.5;120;89;78;100;0.3;2.7
