Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	9	15	7.3	24	1490	0	70	0.7	40	100	-999	2.2
1991	9	16	9.8	25.9	1430	0	73.5	1	47	100	-999	2.4
1991	9	17	16.6	23.6	1090	0	67	2.2	49	85	-999	2.9
1991	9	18	8.2	25.3	1820	0	61	1.3	30	92	-999	2.9
1991	9	19	9.1	24.7	1670	0	62.5	1.2	36	89	-999	2.7
1991	9	20	11	25.5	1540	0	63.5	1.1	38	89	-999	2.7
1991	9	21	12.9	27.6	1460	0	67.5	2.2	48	87	-999	3
1991	9	22	16.3	26.1	1010	16.5	74.5	3.4	49	100	-999	3.1
1991	9	23	10	16.8	980	0	76.5	2.2	56	97	-999	1.7
1991	9	24	11.4	19.2	870	0	88	1.9	76	100	-999	1.5
1991	9	25	10.2	23.3	930	54.5	81	2.4	62	100	-999	1.7
1991	9	26	13	14.6	410	9.5	94.5	2.2	89	100	-999	0.9
1991	9	27	9.7	14.1	820	6	85.5	2.7	71	100	-999	1.5
1991	9	28	7.7	16.9	810	33.5	83	3.6	66	100	-999	1.4
1991	9	29	10.8	11.9	180	26	97.5	2	95	100	-999	0.1
1991	9	30	7.7	16.8	860	2.5	91	1.3	82	100	-999	1
1991	10	1	6.4	16.5	830	0.5	84.5	2.5	69	100	-999	1
1991	10	2	10.7	16.6	1180	0	73.5	1.5	50	97	-999	1.8
1991	10	3	5.1	18.2	1540	0	73	1.1	48	98	-999	1.6
1991	10	4	4.8	19.3	1490	0.5	77.5	0.9	55	100	-999	1.5
1991	10	5	5.9	18.4	710	23	87.5	1.5	75	100	-999	0.9
1991	10	6	9.7	12.7	600	3	86.5	3.4	73	100	-999	1.1
1991	10	7	9.5	12.7	320	0	94	1.7	88	100	-999	0.6
1991	10	8	8	13.7	610	0.5	92	0.8	84	100	-999	0.8
1991	10	9	4.1	17.2	830	0.5	85	0.9	70	100	-999	0.8
1991	10	10	10	21.9	1100	0	81.5	2	63	100	-999	1.6
1991	10	11	11.2	15	110	12	90	2	80	100	-999	0.2
1991	10	12	11.1	14.3	290	3	91	0.8	82	100	-999	0.5
1991	10	13	7.7	15.5	660	0	92.5	0.7	85	100	-999	0.8
1991	10	14	6.2	15.7	700	5	91	0.6	82	100	-999	0.7
1991	10	15	6.5	16.6	900	0	85.5	0.4	71	100	-999	0.8
1991	10	16	6.6	16.5	660	1	88	2.1	76	100	-999	0.8
1991	10	17	10.6	13	210	5	86	3.8	72	100	-999	0.9
1991	10	18	6.8	11.5	940	0.5	76	3	57	95	-999	1.3
1991	10	19	4.2	8.7	510	3.5	85	2.4	73	97	-999	0.8
1991	10	20	3.7	7.2	210	1	89	3	82	96	-999	0.4
1991	10	21	4.7	8.7	470	0	85	3.2	74	96	-999	0.9
1991	10	22	1.4	9.5	1140	0	75	2.7	56	94	-999	1
1991	10	23	-0.5	10.7	950	0	83	2.1	68	98	-999	0.6
1991	10	24	4.5	11.8	890	0	80.5	2.4	63	98	-999	0.8
1991	10	25	2	12.3	960	0	85	0.7	70	100	-999	0.6
1991	10	26	1.4	9.1	490	0	95	0.8	90	100	-999	0.3
1991	10	27	4.3	11	370	0.5	90	0.9	80	100	-999	0.3
1991	10	28	8.9	13.9	540	0	89	1.1	78	100	-999	0.6
1991	10	29	6.7	13.1	790	0	90	1.3	80	100	-999	0.5
1991	10	30	3.2	8.2	130	5.5	97	1.3	94	100	-999	0
1991	10	31	3.5	11.6	550	0	94.5	0.7	89	100	-999	0.4
1991	11	1	2.4	14.2	660	2.5	88	2.5	76	100	-999	0.4
1991	11	2	7.9	12.1	300	5	92	3.7	84	100	-999	0.3
1991	11	3	9.9	16.8	450	15.5	80.5	4.8	61	100	-999	1.1
1991	11	4	5.1	11.7	430	2.5	83	4.4	68	98	-999	0.9
1991	11	5	3.9	8.4	300	11	91	2.6	82	100	-999	0.6
1991	11	6	2.6	7	300	0	85	2.4	70	100	-999	0.6
1991	11	7	1.4	7.5	160	0.5	96	4	92	100	-999	0.1
1991	11	8	5.8	10.3	300	2	95.5	3.6	91	100	-999	0.2
1991	11	9	3.1	9.7	410	1	90	2.7	80	100	-999	0.3
1991	11	10	0.2	7.9	740	0	81.5	0.7	63	100	-999	0.2
1991	11	11	-1.5	8.3	580	2.5	81	2.2	62	100	-999	0.3
1991	11	12	2.4	12.3	220	6	85	4.1	70	100	-999	0.2
1991	11	13	6.8	10	80	15.5	80.5	4.5	61	100	-999	0.2
1991	11	14	2.2	8.5	330	2.5	84	3.8	72	96	-999	0.6
1991	11	15	4.5	7	220	1.5	93	0.8	86	100	-999	0.2
1991	11	16	4.1	8.4	410	0	82	1.8	64	100	-999	0.5
1991	11	17	-0.3	6.4	300	1.5	94.5	1.2	89	100	-999	0.1
1991	11	18	3.1	9.3	250	1.5	97.5	3.2	95	100	-999	0
1991	11	19	4.2	8.8	450	0.5	84.5	2.1	69	100	-999	0.2
1991	11	20	0.2	8.1	490	2	87.5	3.4	75	100	-999	0.1
1991	11	21	3.6	5.1	160	0	90	5.4	82	98	-999	0.6
1991	11	22	1.9	4.4	290	0	83	3.6	77	89	-999	0.6
1991	11	23	-0.6	3.8	180	0	89	2	84	94	-999	0.2
1991	11	24	2.9	4.2	120	0	84	1.2	78	90	-999	0.3
1991	11	25	1	7.1	580	0	87	1	74	100	-999	0
1991	11	26	-1.6	8.3	530	0	90	0.4	80	100	-999	0
1991	11	27	-1.9	4.1	370	0.5	100	0.5	100	100	-999	0
1991	11	28	0.5	3.5	210	0	100	0.9	100	100	-999	0.1
1991	11	29	1.2	2.6	140	0.5	100	1.3	100	100	-999	0
1991	11	30	-0.2	2.8	150	0	100	1.1	100	100	-999	0
1991	12	1	-0.5	0.2	100	0	100	2.1	100	100	-999	0
1991	12	2	-0.6	1.1	80	0	100	0.8	100	100	-999	0
1991	12	3	-0.5	0.8	100	0.5	100	0.6	100	100	-999	0
1991	12	4	-0.3	1.1	70	0	95.5	0.9	91	100	-999	0
1991	12	5	-1.3	3.8	410	0	89	1.8	81	97	-999	0
1991	12	6	-2.6	2.4	590	0	81	2.6	66	96	-999	0
1991	12	7	-3.3	4.8	590	0	79	3.8	68	90	-999	0.3
1991	12	8	-2.8	3.4	570	0	81.5	3.7	71	92	-999	0.1
1991	12	9	-2.5	4	520	0	78.5	3.4	63	94	-999	0.3
1991	12	10	-6.2	-0.4	430	0	76.5	1.3	68	85	-999	0.1
1991	12	11	-4.7	2	340	0	85	0.5	76	94	-999	0.1
1991	12	12	-6.1	3.1	540	0	81	0.3	69	93	-999	0
1991	12	13	-7.8	0.3	620	0	85.5	0.3	76	95	-999	0
1991	12	14	-10.4	-5.9	120	0	93.5	0	91	96	-999	0.1
1991	12	15	-10.2	-2.1	230	0	96	0	92	100	-999	0.1
1991	12	16	-7.8	2.3	320	3	98	0	96	100	-999	0
1991	12	17	-2.2	7.5	270	1	92	2.3	84	100	-999	0
1991	12	18	3.9	8.3	260	4.5	86.5	3.9	73	100	-999	0.4
1991	12	19	4.4	10.1	90	4.5	93.5	4.8	87	100	-999	0.2
1991	12	20	3	5.9	350	5	83	5.4	71	95	-999	0.6
1991	12	21	1.2	11.9	60	8.5	92	4.4	84	100	-999	0.1
1991	12	22	9.7	12.6	100	0.5	89	5.1	80	98	-999	0.5
1991	12	23	8.5	9.8	120	0.5	89	2.7	78	100	-999	0.3
1991	12	24	3	6.2	470	0	81	2.5	70	92	-999	0
1991	12	25	-2.1	4.8	480	0	88.5	2.1	79	98	-999	0
1991	12	26	-3.8	4.1	350	0.5	94	1.9	88	100	-999	0
1991	12	27	0.6	7.3	250	0	91.5	3	83	100	-999	0.1
1991	12	28	0.4	5.6	550	0	81.5	3.2	68	95	-999	0
1991	12	29	-3.5	3	560	0	85	1.4	77	93	-999	0
1991	12	30	-3.9	3	540	0.5	87	0.8	74	100	-999	0
1991	12	31	-5.6	0.3	80	0	98.5	0.6	97	100	-999	0
1992	1	1	-2.4	-1.4	80	0	100	1.7	100	100	-999	0
